iter	Passed	Remaining
0	74	74152
1	90	45219
2	114	37968
3	134	33391
4	152	30351
5	170	28202
6	188	26679
7	204	25321
8	223	24604
9	239	23735
10	258	23276
11	278	22931
12	301	22856
13	316	22267
14	337	22156
15	353	21756
16	374	21657
17	390	21312
18	411	21228
19	428	20991
20	449	20950
21	467	20789
22	486	20649
23	506	20608
24	530	20678
25	558	20911
26	576	20759
27	595	20688
28	617	20690
29	635	20553
30	658	20588
31	677	20507
32	695	20383
33	713	20284
34	735	20281
35	753	20186
36	773	20119
37	785	19896
38	798	19683
39	819	19663
40	834	19522
41	846	19306
42	863	19216
43	875	19023
44	887	18829
45	902	18727
46	914	18535
47	925	18355
48	939	18239
49	951	18069
50	962	17907
51	977	17815
52	990	17694
53	1005	17622
54	1022	17564
55	1035	17458
56	1048	17352
57	1064	17289
58	1078	17195
59	1090	17088
60	1104	17007
61	1116	16898
62	1128	16780
63	1142	16708
64	1154	16611
65	1167	16520
66	1181	16458
67	1192	16348
68	1207	16296
69	1221	16228
70	1232	16129
71	1244	16035
72	1257	15969
73	1268	15874
74	1279	15781
75	1292	15714
76	1308	15690
77	1320	15603
78	1334	15554
79	1345	15471
80	1356	15390
81	1369	15330
82	1383	15287
83	1395	15222
84	1412	15205
85	1429	15194
86	1442	15133
87	1458	15113
88	1473	15086
89	1487	15043
90	1506	15045
91	1517	14973
92	1530	14922
93	1549	14937
94	1563	14892
95	1578	14865
96	1597	14873
97	1610	14819
98	1621	14759
99	1635	14721
100	1648	14669
101	1660	14615
102	1673	14577
103	1685	14517
104	1696	14457
105	1711	14436
106	1722	14372
107	1734	14323
108	1747	14286
109	1759	14232
110	1770	14178
111	1784	14149
112	1795	14091
113	1806	14040
114	1824	14037
115	1835	13990
116	1855	14004
117	1873	14005
118	1889	13986
119	1911	14015
120	1925	13987
121	1947	14014
122	1967	14026
123	1986	14030
124	2000	14003
125	2018	14004
126	2034	13984
127	2052	13983
128	2070	13981
129	2090	13988
130	2105	13969
131	2125	13977
132	2144	13982
133	2166	14001
134	2182	13983
135	2201	13985
136	2216	13960
137	2234	13957
138	2248	13927
139	2266	13922
140	2280	13890
141	2300	13898
142	2315	13877
143	2334	13877
144	2348	13850
145	2367	13846
146	2383	13830
147	2400	13819
148	2414	13792
149	2435	13799
150	2448	13766
151	2466	13762
152	2481	13739
153	2500	13738
154	2522	13750
155	2540	13744
156	2555	13722
157	2575	13726
158	2592	13710
159	2611	13712
160	2625	13680
161	2643	13672
162	2658	13652
163	2678	13652
164	2694	13633
165	2714	13639
166	2729	13616
167	2747	13606
168	2762	13582
169	2779	13572
170	2794	13548
171	2812	13538
172	2827	13515
173	2845	13506
174	2861	13490
175	2879	13481
176	2894	13456
177	2913	13453
178	2928	13430
179	2946	13423
180	2961	13399
181	2980	13393
182	2996	13375
183	3013	13362
184	3027	13339
185	3048	13339
186	3064	13323
187	3084	13320
188	3097	13292
189	3116	13284
190	3130	13259
191	3151	13263
192	3166	13240
193	3185	13233
194	3201	13214
195	3218	13202
196	3235	13186
197	3254	13183
198	3269	13160
199	3287	13149
200	3301	13125
201	3320	13116
202	3335	13096
203	3356	13095
204	3371	13073
205	3390	13068
206	3405	13044
207	3425	13042
208	3440	13021
209	3458	13009
210	3473	12988
211	3493	12985
212	3510	12969
213	3531	12971
214	3549	12958
215	3571	12963
216	3586	12942
217	3609	12948
218	3626	12932
219	3645	12923
220	3662	12911
221	3685	12916
222	3700	12894
223	3719	12887
224	3735	12865
225	3756	12864
226	3771	12843
227	3793	12844
228	3808	12823
229	3828	12815
230	3844	12798
231	3864	12791
232	3879	12771
233	3897	12759
234	3913	12739
235	3934	12736
236	3948	12712
237	3967	12704
238	3983	12684
239	4000	12668
240	4014	12643
241	4033	12633
242	4049	12616
243	4070	12610
244	4088	12597
245	4107	12590
246	4122	12567
247	4143	12564
248	4158	12541
249	4178	12535
250	4193	12514
251	4212	12503
252	4226	12477
253	4244	12465
254	4260	12446
255	4278	12434
256	4292	12410
257	4313	12405
258	4327	12380
259	4345	12368
260	4360	12347
261	4379	12334
262	4394	12315
263	4413	12303
264	4428	12282
265	4446	12268
266	4461	12248
267	4482	12242
268	4497	12221
269	4515	12208
270	4533	12194
271	4552	12183
272	4568	12165
273	4587	12155
274	4602	12134
275	4620	12120
276	4636	12100
277	4654	12087
278	4668	12064
279	4687	12053
280	4704	12036
281	4725	12030
282	4741	12012
283	4758	11996
284	4774	11978
285	4796	11973
286	4811	11953
287	4833	11949
288	4849	11929
289	4868	11919
290	4883	11898
291	4903	11888
292	4917	11866
293	4937	11856
294	4952	11835
295	4971	11824
296	4986	11803
297	5011	11806
298	5026	11785
299	5046	11774
300	5061	11753
301	5079	11741
302	5095	11720
303	5114	11709
304	5129	11689
305	5149	11678
306	5165	11660
307	5184	11647
308	5199	11626
309	5215	11608
310	5230	11587
311	5249	11575
312	5264	11555
313	5285	11547
314	5300	11527
315	5318	11513
316	5333	11492
317	5352	11480
318	5368	11461
319	5388	11449
320	5403	11429
321	5420	11414
322	5435	11393
323	5464	11401
324	5484	11390
325	5504	11379
326	5520	11362
327	5539	11349
328	5556	11331
329	5574	11318
330	5590	11300
331	5610	11289
332	5626	11270
333	5644	11255
334	5664	11245
335	5684	11233
336	5699	11213
337	5718	11199
338	5734	11180
339	5753	11169
340	5769	11149
341	5787	11135
342	5801	11113
343	5820	11100
344	5835	11078
345	5856	11068
346	5871	11048
347	5889	11034
348	5904	11014
349	5922	10998
350	5936	10977
351	5953	10960
352	5968	10939
353	5985	10923
354	6000	10902
355	6018	10886
356	6036	10872
357	6057	10862
358	6071	10841
359	6090	10828
360	6105	10807
361	6124	10793
362	6138	10771
363	6156	10756
364	6170	10735
365	6190	10722
366	6205	10703
367	6224	10689
368	6241	10672
369	6259	10657
370	6275	10639
371	6294	10625
372	6308	10604
373	6326	10588
374	6341	10569
375	6358	10552
376	6372	10530
377	6390	10515
378	6404	10494
379	6425	10483
380	6439	10462
381	6458	10447
382	6474	10429
383	6493	10417
384	6509	10398
385	6528	10384
386	6543	10364
387	6561	10350
388	6576	10329
389	6595	10316
390	6612	10299
391	6631	10285
392	6646	10265
393	6663	10248
394	6678	10229
395	6696	10213
396	6711	10194
397	6731	10181
398	6747	10164
399	6766	10149
400	6781	10130
401	6802	10119
402	6817	10099
403	6836	10084
404	6851	10065
405	6869	10050
406	6884	10030
407	6903	10017
408	6919	9998
409	6937	9983
410	6954	9965
411	6974	9953
412	6990	9935
413	7010	9922
414	7025	9904
415	7044	9889
416	7059	9869
417	7078	9855
418	7093	9836
419	7110	9819
420	7126	9800
421	7144	9785
422	7159	9766
423	7178	9752
424	7194	9733
425	7214	9720
426	7230	9703
427	7248	9687
428	7262	9666
429	7281	9652
430	7296	9632
431	7317	9620
432	7334	9604
433	7355	9593
434	7370	9573
435	7390	9560
436	7405	9540
437	7429	9532
438	7445	9514
439	7465	9501
440	7480	9481
441	7500	9469
442	7516	9450
443	7533	9434
444	7549	9416
445	7573	9407
446	7588	9388
447	7610	9377
448	7627	9359
449	7645	9344
450	7659	9324
451	7677	9308
452	7692	9288
453	7710	9272
454	7724	9252
455	7745	9239
456	7760	9221
457	7781	9208
458	7796	9189
459	7816	9175
460	7832	9157
461	7852	9144
462	7868	9126
463	7888	9112
464	7903	9092
465	7922	9078
466	7938	9060
467	7957	9045
468	7972	9026
469	7992	9012
470	8009	8996
471	8027	8980
472	8042	8960
473	8060	8944
474	8077	8927
475	8096	8913
476	8112	8895
477	8133	8881
478	8148	8862
479	8167	8848
480	8183	8830
481	8201	8814
482	8218	8796
483	8237	8782
484	8254	8765
485	8274	8750
486	8290	8733
487	8311	8720
488	8326	8701
489	8346	8686
490	8361	8667
491	8382	8654
492	8397	8635
493	8416	8621
494	8431	8602
495	8451	8587
496	8466	8568
497	8485	8553
498	8500	8534
499	8518	8518
500	8533	8499
501	8553	8485
502	8568	8466
503	8589	8452
504	8604	8434
505	8624	8419
506	8638	8400
507	8657	8384
508	8673	8367
509	8694	8353
510	8709	8334
511	8728	8318
512	8742	8299
513	8761	8283
514	8777	8266
515	8799	8253
516	8814	8235
517	8834	8220
518	8849	8201
519	8869	8186
520	8885	8168
521	8904	8154
522	8919	8135
523	8940	8121
524	8955	8102
525	8975	8088
526	8990	8069
527	9008	8052
528	9022	8033
529	9041	8018
530	9057	7999
531	9076	7984
532	9090	7965
533	9110	7950
534	9125	7931
535	9142	7914
536	9157	7895
537	9175	7879
538	9191	7861
539	9211	7846
540	9226	7828
541	9243	7810
542	9259	7793
543	9278	7777
544	9295	7760
545	9313	7743
546	9329	7726
547	9349	7711
548	9364	7693
549	9383	7677
550	9397	7658
551	9416	7642
552	9434	7626
553	9452	7609
554	9468	7591
555	9488	7577
556	9502	7558
557	9520	7541
558	9536	7523
559	9554	7507
560	9570	7488
561	9588	7472
562	9602	7453
563	9621	7438
564	9639	7421
565	9656	7404
566	9671	7385
567	9689	7369
568	9705	7351
569	9722	7334
570	9739	7317
571	9760	7303
572	9775	7284
573	9794	7269
574	9811	7251
575	9829	7235
576	9844	7217
577	9862	7200
578	9877	7182
579	9894	7165
580	9910	7147
581	9929	7131
582	9944	7113
583	9965	7098
584	9980	7080
585	10002	7066
586	10020	7049
587	10036	7032
588	10052	7014
589	10071	6998
590	10088	6981
591	10108	6966
592	10123	6948
593	10143	6932
594	10158	6914
595	10178	6899
596	10193	6880
597	10214	6866
598	10229	6848
599	10246	6831
600	10263	6813
601	10286	6801
602	10301	6782
603	10318	6765
604	10333	6746
605	10353	6731
606	10371	6714
607	10388	6698
608	10404	6679
609	10424	6664
610	10439	6646
611	10456	6629
612	10471	6610
613	10488	6594
614	10503	6575
615	10522	6559
616	10539	6542
617	10557	6525
618	10573	6508
619	10592	6492
620	10609	6474
621	10628	6458
622	10645	6442
623	10670	6429
624	10685	6411
625	10704	6395
626	10718	6376
627	10737	6360
628	10753	6342
629	10772	6326
630	10787	6308
631	10805	6291
632	10820	6273
633	10838	6256
634	10852	6238
635	10871	6221
636	10885	6203
637	10905	6187
638	10920	6169
639	10940	6153
640	10954	6135
641	10973	6118
642	10988	6100
643	11007	6084
644	11021	6066
645	11040	6050
646	11056	6032
647	11075	6016
648	11089	5997
649	11111	5983
650	11126	5964
651	11143	5947
652	11158	5929
653	11176	5912
654	11191	5894
655	11208	5877
656	11224	5860
657	11241	5842
658	11256	5824
659	11274	5808
660	11291	5790
661	11310	5774
662	11327	5757
663	11345	5741
664	11361	5723
665	11378	5706
666	11393	5688
667	11412	5672
668	11427	5653
669	11444	5637
670	11459	5618
671	11476	5601
672	11492	5583
673	11509	5566
674	11525	5549
675	11545	5533
676	11559	5515
677	11579	5499
678	11593	5481
679	11612	5464
680	11628	5447
681	11647	5430
682	11664	5413
683	11684	5397
684	11698	5379
685	11716	5362
686	11732	5345
687	11753	5330
688	11768	5311
689	11785	5295
690	11800	5277
691	11818	5260
692	11834	5242
693	11853	5226
694	11869	5208
695	11887	5192
696	11902	5174
697	11922	5158
698	11936	5140
699	11956	5124
700	11970	5106
701	11990	5089
702	12006	5072
703	12026	5056
704	12043	5039
705	12061	5022
706	12076	5004
707	12095	4988
708	12112	4971
709	12129	4954
710	12144	4936
711	12162	4919
712	12178	4902
713	12198	4886
714	12212	4868
715	12233	4852
716	12249	4834
717	12268	4818
718	12284	4801
719	12302	4784
720	12318	4766
721	12338	4751
722	12355	4733
723	12373	4716
724	12389	4699
725	12406	4682
726	12422	4665
727	12440	4648
728	12455	4630
729	12475	4614
730	12490	4596
731	12508	4579
732	12523	4561
733	12542	4545
734	12559	4528
735	12579	4512
736	12595	4494
737	12615	4478
738	12630	4460
739	12647	4443
740	12663	4426
741	12681	4409
742	12697	4391
743	12717	4375
744	12732	4358
745	12752	4341
746	12767	4324
747	12787	4308
748	12802	4290
749	12819	4273
750	12834	4255
751	12851	4238
752	12866	4220
753	12884	4203
754	12899	4185
755	12916	4168
756	12931	4150
757	12948	4133
758	12967	4117
759	12984	4100
760	13001	4083
761	13019	4066
762	13035	4049
763	13055	4032
764	13069	4014
765	13087	3998
766	13103	3980
767	13122	3964
768	13136	3946
769	13158	3930
770	13175	3913
771	13194	3896
772	13209	3879
773	13228	3862
774	13243	3844
775	13262	3828
776	13287	3813
777	13305	3796
778	13324	3780
779	13343	3763
780	13359	3746
781	13376	3729
782	13391	3711
783	13410	3694
784	13426	3677
785	13444	3660
786	13459	3642
787	13478	3626
788	13494	3608
789	13512	3591
790	13528	3574
791	13549	3558
792	13564	3540
793	13583	3524
794	13599	3506
795	13617	3489
796	13632	3472
797	13652	3455
798	13667	3438
799	13701	3425
800	13725	3409
801	13743	3393
